Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Kevin Müller-Heidenheim;Omar Haktab Traoré-Heidenheim;Patrick Mainka-Heidenheim;Benedikt Gimber-Heidenheim;Tim Siersleben-Heidenheim;Frans Krätzig-Heidenheim;Marnon Busch-Heidenheim;Jan Schöppner-Heidenheim;Niklas Dorsch-Heidenheim;Adrian Beck-Heidenheim;Marvin Pieringer-Heidenheim;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Sirlord Conteh-Heidenheim;Budu Zivzivadze-Heidenheim;Mathias Honsak-Heidenheim;Luca Kerber-Heidenheim;Paul Wanner-Heidenheim;Jonas Föhrenbach-Heidenheim;Frank Feller-Heidenheim;Thomas Keller-Heidenheim;Julian Niehues-Heidenheim;Norman Theuerkauf-Heidenheim;Léo Scienza-Heidenheim;Mikkel Kaufmann-Heidenheim;Vitus Eicher-Heidenheim;Lennard Maloney-Heidenheim;Maximilian Breunig-Heidenheim;Denis Thomalla-Heidenheim;Stefan Schimmer-Heidenheim;Eren Dinkci-Heidenheim;Kevin Sessa-Heidenheim;Jan-Niklas Beste-Heidenheim;Tim Kleindienst-Heidenheim;Nikola Dovedan-Heidenheim;Florian Pick-Heidenheim;Dženis Burnić-Heidenheim;Christian Kühlwetter-Heidenheim;Marvin Rittmüller-Heidenheim;Andreas Geipl-Heidenheim
2024-12-19;Heidenheim;21;3;3;142;167;St Gallen;2;3;20;7;5;2;0.61;0.39;495;0.85;9;17;2;3;0;0;9;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6;0.0557142857142857;0.2222222222222222;421;0.0213776722090261;690.1639344262295;0.45;14.754098360655735;13;0.2199999999999999;3;-1;-8;0.0404040404040404;0.05;0.61;9.0;1;0;1;0;1;0;0;1;0.05;0.2;0.002020202020202;20.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;Heidenheim;9;3;6;142;18;Stuttgart;4;3;9;18;2;7;0.33;0.67;280;0.68;25;13;4;3;0;0;9;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;6;0.0372222222222222;0.16;190;0.131578947368421;575.7575757575758;1.0;27.27272727272727;-9;-0.34;3;1;12;0.0321428571428571;0.1111111111111111;0.33;9.0;1;0;1;0;0;1;0;1;0.1111111111111111;0.5;0.0035714285714285;9.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-12;Heidenheim;21;3;0;142;165;Istanbul BB;3;1;16;10;4;6;0.59;0.41;474;0.8;16;13;3;1;0;0;6;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;9;0.0409999999999999;0.1875;379;0.0422163588390501;642.3728813559322;0.375;10.16949152542373;6;0.18;-3;2;3;0.0337552742616033;0.0625;0.59;6.0;0;1;1;0;0;1;1;0;0.0625;0.25;0.0021097046413502;16.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Heidenheim;9;4;3;142;23;Bayern;0;1;2;21;2;10;0.17;0.83;206;0.66;5;4;0;1;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;8;0.0395238095238095;0.0;136;0.0367647058823529;799.9999999999999;0.0;0.0;-19;-0.6599999999999999;-8;-1;1;0.0097087378640776;1.0;0.085;0.0;0;2;2;0;0;1;1;0;1.0;1.0;0.0097087378640776;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-01;Heidenheim;9;6;1;142;87;Frankfurt;0;2;8;14;1;8;0.46;0.54;427;0.76;7;9;0;2;0;0;6;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;5;0.0385714285714285;0.0;325;0.0215384615384615;706.5217391304348;0.75;13.043478260869565;-6;-0.08;1;-2;-2;0.018735362997658;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-28;Heidenheim;21;7;3;142;53;Chelsea;2;4;16;17;11;9;0.33;0.67;296;0.79;14;10;2;3;0;1;3;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;6;0.0394117647058823;0.1428571428571428;234;0.0598290598290598;709.090909090909;0.1875;9.09090909090909;-1;-0.34;-3;-2;4;0.054054054054054;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-23;Heidenheim;9;28;17;142;6;Leverkusen;0;0;6;20;3;10;0.21;0.79;252;0.71;11;8;0;0;0;0;0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;6;0.0395;0.0;179;0.0614525139664804;852.3809523809524;0.0;0.0;-14;-0.5800000000000001;-6;0;3;0.0238095238095238;0.3333333333333333;0.105;0.0;2;0;2;0;0;1;1;0;0.3333333333333333;0.6666666666666666;0.0079365079365079;3.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-07;Heidenheim;21;7;0;142;139;Hearts;1;0;10;17;3;4;0.53;0.47;537;0.79;13;8;1;0;0;0;1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;5;0.0276470588235294;0.0769230769230769;424;0.0306603773584905;800.0;0.1;1.8867924528301885;-7;0.06;-4;1;5;0.0186219739292365;0.2;0.265;0.5;0;2;2;1;0;0;1;0;0.2;0.6666666666666666;0.0037243947858473;5.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-02;Heidenheim;9;17;2;142;177;KSV Holstein;5;4;17;11;5;6;0.55;0.45;389;0.78;14;16;5;4;0;0;6;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;5;0.0409090909090909;0.3571428571428571;303;0.0462046204620462;550.9090909090909;0.3529411764705882;10.909090909090908;6;0.1;1;1;-2;0.0437017994858611;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-30;Heidenheim;23;3;1;142;184;Hertha Berlin;1;5;10;11;1;5;0.55;0.45;474;0.83;13;18;1;5;0;0;3;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3;0.0409090909090909;0.0769230769230769;393;0.0330788804071246;714.5454545454545;0.3;5.454545454545454;-1;0.1;0;-4;-5;0.0210970464135021;0.1;0.55;3.0;0;1;1;0;0;1;1;0;0.1;1.0;0.0021097046413502;10.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
