Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Matěj Kovář-Leverkusen;Edmond Tapsoba-Leverkusen;Jonathan Tah-Leverkusen;Piero Hincapié-Leverkusen;Jeremie Frimpong-Leverkusen;Aleix García Serrano-Leverkusen;Granit Xhaka-Leverkusen;Alejandro Grimaldo-Leverkusen;Florian Wirtz-Leverkusen;Emiliano Buendía-Leverkusen;Patrik Schick-Leverkusen;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Arthur Augusto-Leverkusen;Nathan Tella-Leverkusen;Robert Andrich-Leverkusen;Lukáš Hrádecký-Leverkusen;Exequiel Palacios-Leverkusen;Victor Boniface-Leverkusen;Amine Adli-Leverkusen;Nordi Mukiele-Leverkusen;Mario Hermoso Canseco-Leverkusen;Martin Terrier-Leverkusen;Jonas Hofmann-Leverkusen;Jeanuël Belocian-Leverkusen;Odilon Kossounou-Leverkusen;Josip Stanišić-Leverkusen;Adam Hložek-Leverkusen;Borja Iglesias-Leverkusen;Nadiem Amiri-Leverkusen;Niklas Lomb-Leverkusen;Gustavo Puerta-Leverkusen;Mitchel Bakker-Leverkusen;Sardar Azmoun-Leverkusen;Moussa Diaby-Leverkusen;Kerem Demirbay-Leverkusen
2025-01-18;Leverkusen;9;3;5;6;172;Mönchengladbach;0;2;10;7;5;4;0.55;0.45;610;0.87;12;10;0;2;0;0;7;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;6;0.0642857142857143;0.0;531;0.022598870056497175;965.4545454545454;0.7;12.727272727272727;3;0.10000000000000003;1;-2;2;0.01639344262295082;0.3;0.18333333333333335;2.3333333333333335;1;2;3;1;0;0;0;1;0.3;0.6;0.004918032786885246;3.3333333333333335;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Leverkusen;9;17;17;6;174;Mainz 05;2;3;20;7;9;4;0.67;0.33;739;0.89;4;14;2;3;0;0;8;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.047142857142857146;0.5;658;0.0060790273556231;982.0895522388059;0.4;11.940298507462686;13;0.34;4;-1;-10;0.02706359945872801;0.05;0.67;8.0;0;1;1;1;0;0;0;1;0.05;0.1111111111111111;0.0013531799729364006;20.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-10;Leverkusen;9;1;14;6;11;Dortmund;2;1;7;12;5;5;0.3;0.7;296;0.76;6;8;2;1;0;0;1;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;6;0.05833333333333333;0.3333333333333333;225;0.02666666666666667;750.0;0.14285714285714285;3.3333333333333335;-5;-0.39999999999999997;-5;1;-2;0.02364864864864865;0.42857142857142855;0.09999999999999999;0.3333333333333333;3;0;3;1;0;0;1;0;0.42857142857142855;0.6;0.010135135135135136;2.3333333333333335;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Leverkusen;9;17;3;6;170;Friburgo;1;2;20;8;12;2;0.67;0.33;680;0.88;8;9;1;2;0;0;4;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2;0.04125;0.125;598;0.013377926421404682;892.5373134328357;0.2;5.970149253731343;12;0.34;2;-1;-1;0.029411764705882353;0.25;0.134;0.8;1;4;5;1;0;0;0;1;0.25;0.4166666666666667;0.007352941176470588;4.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Leverkusen;9;17;30;6;173;Augsburgo;0;3;14;8;3;4;0.66;0.34;708;0.89;5;12;0;3;0;0;9;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;4;0.0425;0.0;630;0.007936507936507936;954.5454545454545;0.6428571428571429;13.636363636363635;6;0.32;5;-3;-7;0.01977401129943503;0.14285714285714285;0.33;4.5;2;0;2;1;0;0;1;0;0.14285714285714285;0.6666666666666666;0.002824858757062147;7.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-10;Leverkusen;0;3;2;6;7;Inter;0;3;17;6;5;0;0.61;0.39;728;0.91;10;7;0;3;0;0;3;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1;0.065;0.0;662;0.015105740181268883;1085.2459016393443;0.17647058823529413;4.918032786885246;11;0.21999999999999997;2;-3;3;0.023351648351648352;0.058823529411764705;0.61;3.0;0;1;1;1;0;0;0;1;0.058823529411764705;0.2;0.0013736263736263737;17.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Leverkusen;9;2;6;6;176;St. Pauli;1;3;6;12;2;4;0.63;0.37;663;0.88;8;10;1;3;0;0;7;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;4;0.030833333333333334;0.125;583;0.0137221269296741;925.3968253968254;1.1666666666666667;11.11111111111111;-6;0.26;3;-2;-2;0.00904977375565611;0.3333333333333333;0.315;3.5;2;0;2;1;0;0;0;1;0.3333333333333333;1.0;0.0030165912518853697;3.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-03;Leverkusen;23;5;3;6;23;Bayern;3;3;11;14;4;2;0.41;0.59;352;0.82;13;8;3;2;0;1;4;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;12;0.04214285714285714;0.23076923076923078;289;0.04498269896193772;704.8780487804878;0.36363636363636365;9.75609756097561;-3;-0.18;-8;0;5;0.03125;0.09090909090909091;0.41;4.0;0;1;1;1;0;0;1;0;0.09090909090909091;0.25;0.002840909090909091;11.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-30;Leverkusen;9;5;17;6;169;FC Union Berlin;2;4;8;8;3;2;0.63;0.37;568;0.85;11;18;2;4;0;0;3;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1;0.04625;0.18181818181818182;483;0.022774327122153208;766.6666666666666;0.375;4.761904761904762;0;0.26;2;-2;-7;0.014084507042253521;0.25;0.315;1.5;1;1;2;1;0;0;1;0;0.25;0.6666666666666666;0.0035211267605633804;4.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-26;Leverkusen;0;2;0;6;34;RB Salzburg;1;1;29;7;13;2;0.63;0.37;707;0.89;11;11;1;1;0;0;6;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;3;0.05285714285714286;0.09090909090909091;629;0.017488076311605722;998.4126984126984;0.20689655172413793;9.523809523809524;22;0.26;3;0;0;0.04101838755304102;0.1724137931034483;0.126;1.2;3;2;5;1;0;0;0;1;0.1724137931034483;0.38461538461538464;0.007072135785007072;5.8;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-23;Leverkusen;9;17;28;6;142;Heidenheim;0;0;20;6;10;3;0.79;0.21;948;0.91;8;11;0;0;0;0;6;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0;0.034999999999999996;0.0;863;0.009269988412514484;1092.4050632911392;0.3;7.594936708860759;14;0.5800000000000001;6;0;-3;0.02109704641350211;0.25;0.158;1.2;2;3;5;1;0;0;0;1;0.25;0.5;0.005274261603375527;4.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
