Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Jonas Omlin-Mönchengladbach;Joe Scally-Mönchengladbach;Ko Itakura-Mönchengladbach;Fabio Chiarodia-Mönchengladbach;Lukas Ullrich-Mönchengladbach;Rocco Reitz-Mönchengladbach;Julian Weigl-Mönchengladbach;Franck Honorat-Mönchengladbach;Kevin Stöger-Mönchengladbach;Robin Hack-Mönchengladbach;Tim Kleindienst-Mönchengladbach;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Tomáš Čvančara-Mönchengladbach;Alassane Pléa-Mönchengladbach;Nico Elvedi-Mönchengladbach;Tiago Pereira Cardoso-Mönchengladbach;Luca Netz-Mönchengladbach;Florian Neuhaus-Mönchengladbach;Philipp Sander-Mönchengladbach;Nathan N'Goumou-Mönchengladbach;Stefan Lainer-Mönchengladbach;Marvin Friedrich-Mönchengladbach;Moritz Nicolas-Mönchengladbach;Manu Koné-Mönchengladbach;Jordan Siebatcheu-Mönchengladbach;Maximilian Wöber-Mönchengladbach;Christoph Kramer-Mönchengladbach;Ramy Bensebaini-Mönchengladbach;Jonas Hofmann-Mönchengladbach;Lars Stindl-Mönchengladbach;Marcus Thuram-Mönchengladbach;Jan Olschowsky-Mönchengladbach;Hannes Wolf-Mönchengladbach;Tobias Sippel-Mönchengladbach;Tony Jantschke-Mönchengladbach;Yann Sommer-Mönchengladbach
2024-11-30;Mönchengladbach;9;3;3;172;170;Friburgo;1;1;15;17;4;7;0.52;0.48;474;0.84;14;5;1;1;0;0;6;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.028235294117647056;0.07142857142857142;398;0.035175879396984924;765.3846153846154;0.4;11.538461538461538;-2;0.040000000000000036;2;0;9;0.03164556962025317;0.06666666666666667;0.52;6.0;0;1;1;0;0;1;1;0;0.06666666666666667;0.25;0.002109704641350211;15.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Mönchengladbach;9;3;6;172;176;St. Pauli;1;0;15;15;4;3;0.49;0.51;546;0.88;7;8;1;0;0;0;5;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.034;0.14285714285714285;480;0.014583333333333334;979.5918367346939;0.3333333333333333;10.204081632653061;0;-0.020000000000000018;1;1;-1;0.027472527472527472;0.13333333333333333;0.245;2.5;2;0;2;1;0;0;0;1;0.13333333333333333;0.5;0.003663003663003663;7.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;Mönchengladbach;9;3;17;172;31;RB Leipzig;2;2;14;12;4;5;0.38;0.62;379;0.8;7;14;2;2;0;0;4;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;8;0.051666666666666666;0.2857142857142857;303;0.0231023102310231;797.3684210526316;0.2857142857142857;10.526315789473685;2;-0.24;-4;0;-7;0.036939313984168866;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-03;Mönchengladbach;9;3;17;172;171;Werder Bremen;1;3;16;15;8;5;0.47;0.53;487;0.81;12;10;1;2;0;1;7;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;7;0.035333333333333335;0.08333333333333333;394;0.030456852791878174;838.2978723404256;0.4375;14.893617021276597;1;-0.06000000000000005;0;-2;2;0.03285420944558522;0.25;0.1175;1.75;3;1;4;1;0;0;0;1;0.25;0.5;0.008213552361396304;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-30;Mönchengladbach;23;3;1;172;87;Frankfurt;4;3;19;14;3;7;0.61;0.39;550;0.86;15;7;4;2;0;1;6;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2;0.027857142857142858;0.26666666666666666;473;0.03171247357293869;775.4098360655738;0.3157894736842105;9.836065573770492;5;0.21999999999999997;4;1;8;0.034545454545454546;0.05263157894736842;0.61;6.0;0;1;1;0;0;1;1;0;0.05263157894736842;0.3333333333333333;0.0018181818181818182;19.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-25;Mönchengladbach;9;3;17;172;174;Mainz 05;2;3;9;23;5;6;0.48;0.52;441;0.77;16;16;2;3;0;0;4;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;2;0.022608695652173914;0.125;340;0.047058823529411764;708.3333333333334;0.4444444444444444;8.333333333333334;-14;-0.040000000000000036;2;-1;0;0.02040816326530612;0.1111111111111111;0.48;4.0;0;1;1;0;1;0;1;0;0.1111111111111111;0.2;0.0022675736961451248;9.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-19;Mönchengladbach;9;3;3;172;142;Heidenheim;3;3;20;19;10;6;0.67;0.33;523;0.81;15;9;3;3;0;0;6;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.017368421052631578;0.2;424;0.03537735849056604;632.8358208955224;0.3;8.955223880597014;1;0.34;3;0;6;0.03824091778202677;0.15;0.22333333333333336;2.0;1;2;3;1;0;0;0;1;0.15;0.3;0.0057361376673040155;6.666666666666667;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-04;Mönchengladbach;9;3;2;172;173;Augsburgo;4;2;11;15;4;5;0.66;0.34;603;0.82;15;13;4;2;0;0;5;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;6;0.02266666666666667;0.26666666666666666;494;0.030364372469635626;748.4848484848485;0.45454545454545453;7.575757575757575;-4;0.32;-1;2;2;0.01824212271973466;0.09090909090909091;0.66;5.0;0;1;1;0;0;1;1;0;0.09090909090909091;0.25;0.001658374792703151;11.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-28;Mönchengladbach;9;3;17;172;169;FC Union Berlin;3;1;8;9;2;2;0.64;0.36;610;0.83;11;12;3;1;0;0;2;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;4;0.04;0.2727272727272727;506;0.021739130434782608;790.625;0.25;3.125;-1;0.28;-2;2;-1;0.013114754098360656;0.125;0.64;2.0;0;1;1;1;0;0;0;1;0.125;0.5;0.001639344262295082;8.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-21;Mönchengladbach;9;3;1;172;87;Frankfurt;1;1;25;18;7;4;0.64;0.36;642;0.89;12;10;1;1;0;0;5;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;8;0.02;0.08333333333333333;571;0.021015761821366025;892.1875;0.2;7.8125;7;0.28;-3;0;2;0.03894080996884735;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
