Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Mark Flekken-Brentford;Michael Kayode-Brentford;Nathan Collins-Brentford;Sepp van den Berg-Brentford;Keane Lewis-Potter-Brentford;Christian Nørgaard-Brentford;Yehor Yarmolyuk-Brentford;Bryan Mbeumo-Brentford;Mikkel Damsgaard-Brentford;Kevin Schade-Brentford;Yoane Wissa-Brentford;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Kristoffer Ajer-Brentford;Vitaly Janelt-Brentford;Ethan Pinnock-Brentford;Hákon Rafn Valdimarsson-Brentford;Mads Roerslev-Brentford;Mathias Jensen-Brentford;Kim Ji-soo-Brentford;Rico Henry-Brentford;Paris Maghoma-Brentford;Fábio Carvalho-Brentford;Ben Mee-Brentford;Igor Thiago-Brentford;Jayden Meghoma-Brentford;Ryan Trevitt-Brentford;Frank Onyeka-Brentford;Myles Peart-Harris-Brentford;Mathias Jørgensen-Brentford;Sergio Reguilón-Brentford;Ivan Toney-Brentford;Neal Maupay-Brentford;Thomas Strakosha-Brentford;Josh Dasilva-Brentford;Saman Ghoddos-Brentford;Shandon Baptiste-Brentford;Aaron Hickey-Brentford;David Raya-Brentford;Pontus Jansson-Brentford;Mads Bech Sørensen-Brentford
2024-11-30;Brentford;3;3;17;57;63;Leicester City;1;1;13;7;6;3;0.6;0.4;576;0.84;9;10;1;1;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.05714285714285715;0.1111111111111111;484;0.01859504132231405;806.6666666666667;0.38461538461538464;8.333333333333334;6;0.19999999999999996;1;0;-1;0.022569444444444444;0.3076923076923077;0.15;1.25;3;1;4;1;0;0;0;1;0.3076923076923077;0.6666666666666666;0.006944444444444444;3.25;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-23;Brentford;3;0;3;57;64;Everton;1;0;9;27;2;5;0.4;0.6;342;0.79;10;8;0;0;1;0;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;10;0.022222222222222223;0.1;270;0.037037037037037035;675.0;0.4444444444444444;10.0;-18;-0.19999999999999996;-6;1;2;0.02631578947368421;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;Brentford;3;0;3;57;59;Bournemouth;2;4;12;15;6;3;0.52;0.48;413;0.75;8;16;2;4;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;4;0.032;0.25;310;0.025806451612903226;596.1538461538462;0.5;11.538461538461538;-3;0.040000000000000036;2;-2;-8;0.029055690072639227;0.25;0.17333333333333334;2.0;1;2;3;1;0;0;0;1;0.25;0.5;0.007263922518159807;4.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-04;Brentford;3;3;3;57;58;Fulham;1;2;5;26;2;12;0.32;0.68;321;0.7;10;3;1;2;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;11;0.026153846153846156;0.1;225;0.044444444444444446;703.125;0.6;9.375;-21;-0.36000000000000004;-8;-1;7;0.01557632398753894;0.2;0.32;3.0;1;0;1;0;0;1;1;0;0.2;0.5;0.003115264797507788;5.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-29;Brentford;14;3;17;57;829;Sheffield Wednesday;0;1;12;9;5;5;0.71;0.29;591;0.87;9;9;0;1;0;0;5;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;2;0.03222222222222222;0.0;514;0.017509727626459144;723.943661971831;0.4166666666666667;7.042253521126761;3;0.42;3;-1;0;0.02030456852791878;0.08333333333333333;0.71;5.0;1;0;1;0;1;0;0;1;0.08333333333333333;0.2;0.001692047377326565;12.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-26;Brentford;3;3;3;57;66;Ipswich;0;2;20;11;9;5;0.65;0.35;555;0.84;7;10;0;1;0;1;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;5;0.031818181818181815;0.0;466;0.015021459227467811;716.9230769230769;0.2;6.153846153846153;9;0.30000000000000004;-1;-2;-3;0.036036036036036036;0.2;0.1625;1.0;2;2;4;1;0;0;0;1;0.2;0.4444444444444444;0.007207207207207207;5.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-19;Brentford;3;3;3;57;62;Manchester United;2;2;8;23;2;11;0.49;0.51;484;0.85;5;4;2;2;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;9;0.022173913043478263;0.4;411;0.012165450121654502;838.7755102040817;0.25;4.081632653061225;-15;-0.020000000000000018;-7;0;1;0.01652892561983471;0.125;0.49;2.0;1;0;1;0;0;1;1;0;0.125;0.5;0.002066115702479339;8.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-05;Brentford;3;3;7;57;67;Wolves;2;3;19;17;12;6;0.44;0.56;365;0.77;9;10;2;3;0;0;10;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;3;0.03294117647058824;0.2222222222222222;281;0.03202846975088968;638.6363636363636;0.5263157894736842;22.727272727272727;2;-0.12000000000000005;7;-1;-1;0.052054794520547946;0.2631578947368421;0.088;2.0;4;1;5;1;0;0;0;1;0.2631578947368421;0.4166666666666667;0.0136986301369863;3.8;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-28;Brentford;3;1;7;57;61;West Ham;2;3;8;19;3;3;0.58;0.42;528;0.8;2;11;2;3;0;0;7;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;6;0.022105263157894735;1.0;422;0.004739336492890996;727.5862068965517;0.875;12.06896551724138;-11;0.15999999999999998;1;-1;-9;0.015151515151515152;0.125;0.58;7.0;1;0;1;0;1;0;0;1;0.125;0.3333333333333333;0.001893939393939394;8.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-21;Brentford;3;4;0;57;56;Tottenham;1;3;6;23;6;10;0.52;0.48;489;0.8;9;11;1;3;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;9;0.020869565217391303;0.1111111111111111;391;0.023017902813299233;751.9230769230769;0.6666666666666666;7.692307692307692;-17;0.040000000000000036;-5;-2;-2;0.012269938650306749;0.16666666666666666;0.52;4.0;1;0;1;0;0;1;1;0;0.16666666666666666;0.16666666666666666;0.002044989775051125;6.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
