Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Nick Pope-Newcastle;Kieran Trippier-Newcastle;Fabian Schär-Newcastle;Dan Burn-Newcastle;Tino Livramento-Newcastle;Bruno Guimarães-Newcastle;Sandro Tonali-Newcastle;Joelinton-Newcastle;Jacob Murphy-Newcastle;Alexander Isak-Newcastle;Harvey Barnes-Newcastle;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Martin Dúbravka-Newcastle;Lewis Miley-Newcastle;Anthony Gordon-Newcastle;Lewis Hall-Newcastle;Joe Willock-Newcastle;Callum Wilson-Newcastle;Emil Krafth-Newcastle;Matt Targett-Newcastle;Sean Longstaff-Newcastle;William Osula-Newcastle;Sven Botman-Newcastle;Lloyd Kelly-Newcastle;Miguel Almirón-Newcastle;Jamal Lewis-Newcastle;Alfie Harrison-Newcastle;Jamie Miley-Newcastle;Elliot Anderson-Newcastle;Jamaal Lascelles-Newcastle;Loris Karius-Newcastle;Paul Dummett-Newcastle;Matt Ritchie-Newcastle;Harrison Ashby-Newcastle;Allan Saint-Maximin-Newcastle
2024-12-30;Newcastle;3;0;17;60;62;Manchester United;1;1;12;10;4;1;0.47;0.53;518;0.85;8;13;1;1;0;0;3;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.053000000000000005;0.125;440;0.01818181818181818;936.1702127659574;0.25;6.382978723404256;2;-0.06000000000000005;1;0;-5;0.023166023166023165;0.16666666666666666;0.235;1.5;2;0;2;1;0;0;1;0;0.16666666666666666;0.5;0.003861003861003861;6.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-26;Newcastle;3;0;3;60;1;Aston Villa;2;2;22;4;8;1;0.63;0.37;550;0.91;15;10;2;1;0;1;9;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;6;0.0925;0.13333333333333333;500;0.03;793.6507936507936;0.4090909090909091;14.285714285714286;18;0.26;3;0;5;0.04;0.13636363636363635;0.21;3.0;1;2;3;1;0;0;0;1;0.13636363636363635;0.375;0.005454545454545455;7.333333333333333;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Newcastle;3;0;3;60;66;Ipswich;0;2;15;10;7;2;0.59;0.41;616;0.87;7;9;0;2;0;0;1;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;2;0.040999999999999995;0.0;536;0.013059701492537313;908.4745762711865;0.06666666666666667;1.6949152542372883;5;0.18;-1;-2;-2;0.024350649350649352;0.26666666666666666;0.1475;0.25;3;1;4;1;0;0;1;0;0.26666666666666666;0.5714285714285714;0.006493506493506494;3.75;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-18;Newcastle;14;0;17;60;57;Brentford;3;2;23;10;5;3;0.55;0.45;430;0.84;11;9;3;2;0;0;8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;5;0.045;0.2727272727272727;361;0.030470914127423823;656.3636363636363;0.34782608695652173;14.545454545454545;13;0.10000000000000003;3;1;2;0.053488372093023255;0.13043478260869565;0.18333333333333335;2.6666666666666665;2;1;3;1;0;0;0;1;0.13043478260869565;0.6;0.0069767441860465115;7.666666666666667;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Newcastle;3;0;3;60;63;Leicester City;3;3;27;4;11;1;0.6;0.4;633;0.87;7;16;3;3;0;0;5;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.1;0.42857142857142855;551;0.012704174228675136;918.3333333333334;0.18518518518518517;8.333333333333334;23;0.19999999999999996;3;0;-9;0.04265402843601896;0.14814814814814814;0.15;1.25;1;3;4;1;0;0;0;1;0.14814814814814814;0.36363636363636365;0.00631911532385466;6.75;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Newcastle;3;0;17;60;57;Brentford;0;3;16;11;3;8;0.57;0.43;495;0.86;7;10;0;3;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;3;0.03909090909090909;0.0;426;0.01643192488262911;747.3684210526317;0.25;7.017543859649123;5;0.13999999999999996;1;-3;-3;0.03232323232323232;0.125;0.285;2.0;2;0;2;0;0;1;1;0;0.125;0.6666666666666666;0.00404040404040404;8.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-04;Newcastle;3;0;3;60;2;Liverpool;2;5;17;16;6;5;0.41;0.59;350;0.79;9;17;2;5;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;6;0.036875;0.2222222222222222;276;0.03260869565217391;673.1707317073171;0.29411764705882354;12.195121951219512;1;-0.18;-1;-3;-8;0.04857142857142857;0.17647058823529413;0.13666666666666666;1.6666666666666667;1;2;3;0;1;0;0;1;0.17647058823529413;0.5;0.008571428571428572;5.666666666666667;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-30;Newcastle;3;0;17;60;65;Crystal Palace;3;3;1;16;0;4;0.52;0.48;418;0.8;11;12;3;3;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;8;0.03;0.2727272727272727;334;0.03293413173652695;642.3076923076923;9.0;17.307692307692307;-15;0.040000000000000036;1;0;-1;0.0023923444976076554;1.0;0.52;9.0;0;1;1;0;1;0;1;0;1.0;0.0;0.0023923444976076554;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-25;Newcastle;3;0;3;60;61;West Ham;1;0;18;15;2;6;0.53;0.47;509;0.85;11;8;1;0;0;0;8;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;3;0.03133333333333333;0.09090909090909091;433;0.025404157043879907;816.9811320754717;0.4444444444444444;15.094339622641508;3;0.06000000000000005;5;1;3;0.03536345776031434;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-10;Newcastle;3;0;3;60;55;Nottingham Forest;1;1;17;9;6;3;0.57;0.43;494;0.86;6;13;1;1;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4;0.04777777777777778;0.16666666666666666;425;0.01411764705882353;745.6140350877193;0.29411764705882354;8.771929824561404;8;0.13999999999999996;1;0;-7;0.03441295546558704;0.17647058823529413;0.18999999999999997;1.6666666666666667;0;3;3;1;0;0;1;0;0.17647058823529413;0.5;0.006072874493927126;5.666666666666667;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-02;Newcastle;3;0;1;60;9;Arsenal;4;4;9;10;4;1;0.36;0.64;289;0.69;16;18;4;4;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;6;0.064;0.25;199;0.08040201005025126;552.7777777777778;0.4444444444444444;11.11111111111111;-1;-0.28;-2;0;-2;0.031141868512110725;0.1111111111111111;0.36;4.0;1;0;1;1;0;0;0;1;0.1111111111111111;0.25;0.0034602076124567475;9.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-30;Newcastle;14;0;3;60;53;Chelsea;4;2;8;17;2;4;0.34;0.66;352;0.81;12;14;4;2;0;0;1;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;9;0.03882352941176471;0.3333333333333333;285;0.042105263157894736;838.235294117647;0.125;2.941176470588235;-9;-0.32;-8;2;-2;0.022727272727272728;0.25;0.17;0.5;2;0;2;1;0;0;0;1;0.25;1.0;0.005681818181818182;4.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
