Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
22/10/22;Crystal Palace;3;7;9;2;55;456;84;14;4;0;4;0;0;0;0;0;1;1;0
18/10/22;Crystal Palace;3;0;14;4;52;449;82;14;3;0;4;0;2;2;1;0;0;0;1
15/10/22;Crystal Palace;3;0;8;1;46;514;82;13;2;0;2;0;0;0;0;1;0;1;0
9/10/22;Crystal Palace;3;0;13;5;55;418;76;13;3;0;5;1;1;2;1;0;0;0;1
1/10/22;Crystal Palace;3;0;7;3;36;348;77;11;1;0;5;1;0;1;0;0;1;0;1
30/8/22;Crystal Palace;3;7;13;4;48;472;81;11;1;0;4;0;1;1;0;1;0;0;1
27/8/22;Crystal Palace;3;9;2;2;25;265;73;8;2;0;1;2;0;2;0;0;1;1;0
23/8/22;Crystal Palace;14;0;12;4;70;550;84;7;3;0;6;0;2;2;1;0;0;1;0
20/8/22;Crystal Palace;3;0;17;9;51;448;84;16;2;0;4;1;2;3;1;0;0;0;1
15/8/22;Crystal Palace;3;9;7;3;27;274;68;8;4;0;2;1;0;1;0;1;0;1;0
5/8/22;Crystal Palace;3;3;10;2;57;562;86;16;1;0;3;0;0;0;0;0;1;0;1
19/7/22;Crystal Palace;6;0;13;5;35;287;76;12;2;0;6;0;1;1;0;0;1;1;0
15/7/22;Crystal Palace;6;0;4;1;32;311;76;12;0;0;3;0;0;0;0;0;1;1;0
22/5/22;Crystal Palace;3;0;6;3;38;327;72;12;2;0;3;1;0;1;1;0;0;0;1
19/5/22;Crystal Palace;3;0;7;5;57;467;77;12;3;0;5;2;0;2;0;0;1;1;0
15/5/22;Crystal Palace;3;4;16;4;52;486;84;15;3;0;5;0;1;1;0;1;0;1;0
7/5/22;Crystal Palace;3;0;15;7;68;533;85;11;2;0;8;1;0;1;1;0;0;0;1
2/10/24;Liverpool;0;3;9;4;52;451;82;10;4;0;5;1;1;2;1;0;0;0;1
28/9/24;Liverpool;3;3;10;6;56;534;85;8;3;0;10;1;1;2;1;0;0;1;0
25/9/24;Liverpool;14;3;21;11;62;534;91;13;1;0;5;1;4;5;1;0;0;0;1
17/9/24;Liverpool;0;3;23;11;51;460;86;12;2;0;5;2;1;3;1;0;0;1;0
14/9/24;Liverpool;3;3;14;5;70;604;83;15;4;0;7;0;0;0;0;0;1;0;1
1/9/24;Liverpool;3;3;11;3;47;464;84;7;1;0;2;2;1;3;1;0;0;1;0
25/8/24;Liverpool;3;3;19;8;63;602;91;10;2;0;9;1;1;2;1;0;0;0;1
17/8/24;Liverpool;3;3;18;5;63;570;86;18;1;0;10;0;2;2;1;0;0;1;0
11/8/24;Liverpool;6;0;16;6;61;644;92;6;1;0;2;0;0;0;0;1;0;0;1
11/8/24;Liverpool;6;0;12;9;57;585;89;11;0;0;5;3;1;4;1;0;0;0;1
3/8/24;Liverpool;6;0;9;5;53;527;85;15;0;0;2;2;1;3;1;0;0;1;0
31/7/24;Liverpool;6;0;10;4;39;382;83;14;1;0;1;2;0;2;1;0;0;0;1
26/7/24;Liverpool;6;3;9;3;63;680;89;18;2;0;1;1;0;1;1;0;0;0;1
19/5/24;Liverpool;3;0;36;14;68;621;91;14;1;0;10;2;0;2;1;0;0;0;1
13/5/24;Liverpool;3;0;14;7;59;577;88;15;1;0;4;2;1;3;0;1;0;1;0
5/5/24;Liverpool;3;0;25;13;44;430;83;14;1;0;8;2;2;4;1;0;0;0;1
27/4/24;Liverpool;3;0;28;8;72;675;86;10;2;0;8;0;2;2;0;1;0;1;0
24/4/24;Liverpool;3;0;23;7;77;717;88;13;3;0;13;0;0;0;0;0;1;1;0
21/4/24;Liverpool;3;0;14;7;61;656;86;11;0;0;4;1;2;3;1;0;0;1;0
18/4/24;Liverpool;5;0;10;5;70;680;82;10;0;0;1;1;0;1;1;0;0;1;0
14/4/24;Liverpool;3;0;21;6;70;725;83;10;1;0;11;0;0;0;0;0;1;0;1
11/4/24;Liverpool;5;0;19;5;71;643;83;7;0;0;4;0;0;0;0;0;1;0;1
7/4/24;Liverpool;3;0;28;7;62;574;84;10;2;0;11;1;1;2;0;1;0;1;0
4/4/24;Liverpool;3;0;29;9;83;786;90;6;0;0;13;1;2;3;1;0;0;0;1
31/3/24;Liverpool;3;0;30;8;55;585;89;20;5;0;8;1;1;2;1;0;0;0;1
17/3/24;Liverpool;15;0;25;11;59;721;84;12;3;0;8;2;1;3;0;0;1;1;0
14/3/24;Liverpool;5;0;22;12;78;903;92;7;1;0;8;4;2;6;1;0;0;0;1
10/3/24;Liverpool;3;0;19;6;53;584;83;6;0;0;7;0;1;1;0;1;0;0;1
7/3/24;Liverpool;5;0;20;11;64;660;88;9;0;0;3;3;2;5;1;0;0;1;0
2/3/24;Liverpool;3;0;22;2;71;662;86;12;2;0;12;0;1;1;1;0;0;1;0
28/2/24;Liverpool;15;0;18;6;53;585;90;10;0;0;7;1;2;3;1;0;0;0;1
25/2/24;Liverpool;14;0;23;11;54;691;83;21;5;0;5;0;1;1;1;0;0;1;0
21/2/24;Liverpool;3;0;29;13;61;508;82;15;1;0;13;0;4;4;1;0;0;0;1
17/2/24;Liverpool;3;0;15;8;63;614;82;18;1;0;6;1;3;4;1;0;0;1;0
10/2/24;Liverpool;3;0;25;10;71;670;86;11;3;0;9;1;2;3;1;0;0;0;1
4/2/24;Liverpool;3;0;10;1;58;528;83;11;2;1;4;1;0;1;0;0;1;1;0
31/1/24;Liverpool;3;0;28;13;51;553;85;15;2;0;8;2;2;4;1;0;0;0;1
28/1/24;Liverpool;15;0;29;10;73;725;90;7;0;0;13;2;3;5;1;0;0;0;1
24/1/24;Liverpool;14;0;14;5;52;498;81;13;1;0;2;1;0;1;0;1;0;1;0
21/1/24;Liverpool;3;0;14;7;61;526;83;12;2;0;5;0;4;4;1;0;0;1;0
10/1/24;Liverpool;14;0;21;7;67;646;87;10;1;0;8;0;2;2;1;0;0;0;1
7/1/24;Liverpool;15;0;12;3;45;412;82;15;4;0;2;0;2;2;1;0;0;1;0
1/1/24;Liverpool;3;0;34;15;62;555;84;16;3;0;7;0;4;4;1;0;0;0;1
26/12/23;Liverpool;3;0;19;10;69;664;84;10;1;0;4;1;1;2;1;0;0;1;0
23/12/23;Liverpool;3;0;13;3;51;442;80;13;2;0;4;1;0;1;0;1;0;0;1
20/12/23;Liverpool;14;0;29;11;67;596;88;9;1;0;12;1;4;5;1;0;0;0;1
17/12/23;Liverpool;3;0;34;8;69;607;84;13;2;0;12;0;0;0;0;1;0;0;1
14/12/23;Liverpool;5;0;4;3;69;586;85;9;2;0;2;1;0;1;0;0;1;1;0
9/12/23;Liverpool;3;0;14;2;76;662;87;17;2;0;5;0;2;2;1;0;0;1;0
6/12/23;Liverpool;3;0;15;8;76;632;83;8;3;0;12;1;1;2;1;0;0;1;0
3/12/23;Liverpool;3;0;26;12;62;624;81;6;0;0;3;2;2;4;1;0;0;0;1
30/11/23;Liverpool;5;0;24;9;66;586;87;7;0;0;8;2;2;4;1;0;0;0;1
25/11/23;Liverpool;3;0;8;3;40;414;81;11;3;0;6;0;1;1;0;1;0;1;0
12/11/23;Liverpool;3;0;17;10;59;504;82;16;1;0;6;1;2;3;1;0;0;0;1
9/11/23;Liverpool;5;0;19;4;72;584;87;13;2;0;7;0;2;2;0;0;1;1;0
5/11/23;Liverpool;3;0;24;6;74;659;88;13;1;0;7;0;1;1;0;1;0;1;0
1/11/23;Liverpool;14;0;18;7;67;571;83;16;1;0;7;1;1;2;1;0;0;1;0
29/10/23;Liverpool;3;0;21;8;73;728;89;9;2;0;8;2;1;3;1;0;0;0;1
26/10/23;Liverpool;5;0;20;9;63;636;88;9;1;0;5;3;2;5;1;0;0;0;1
21/10/23;Liverpool;3;0;26;6;78;742;87;9;1;0;12;0;2;2;1;0;0;0;1
8/10/23;Liverpool;3;0;14;4;54;498;86;20;2;0;1;2;0;2;0;1;0;1;0
5/10/23;Liverpool;5;0;19;9;74;658;87;9;0;0;7;1;1;2;1;0;0;0;1
30/9/23;Liverpool;3;0;12;4;35;364;77;17;4;2;5;1;0;1;0;0;1;1;0
27/9/23;Liverpool;14;0;29;10;58;526;88;18;1;0;10;0;3;3;1;0;0;0;1
24/9/23;Liverpool;3;0;22;7;64;645;88;12;0;0;7;1;2;3;1;0;0;0;1
21/9/23;Liverpool;5;0;14;6;68;546;82;15;2;0;7;0;3;3;1;0;0;1;0
16/9/23;Liverpool;3;0;16;6;66;729;87;4;3;0;4;0;3;3;1;0;0;1;0
3/9/23;Liverpool;3;0;17;4;64;694;91;12;0;0;7;2;1;3;1;0;0;0;1
27/8/23;Liverpool;3;0;9;4;40;384;79;10;2;1;9;0;2;2;1;0;0;1;0
19/8/23;Liverpool;3;0;26;10;65;600;86;11;1;1;10;2;1;3;1;0;0;0;1
13/8/23;Liverpool;3;0;13;1;35;377;79;13;3;0;4;1;0;1;0;1;0;1;0
7/8/23;Liverpool;6;0;27;10;68;691;87;16;1;0;9;2;1;3;1;0;0;0;1
2/8/23;Liverpool;6;0;12;8;39;392;84;12;2;0;3;2;1;3;0;0;1;0;1
30/7/23;Liverpool;6;0;26;12;63;645;91;12;0;0;9;3;1;4;1;0;0;0;1
24/7/23;Liverpool;6;0;18;8;56;510;83;12;2;0;7;1;3;4;0;1;0;1;0
19/7/23;Liverpool;6;0;16;9;70;736;91;13;0;0;7;1;3;4;1;0;0;1;0
28/5/23;Liverpool;3;0;30;8;69;604;86;10;2;0;9;2;2;4;0;1;0;1;0
20/5/23;Liverpool;3;0;10;5;67;510;84;16;3;0;9;0;1;1;0;1;0;0;1
15/5/23;Liverpool;3;0;16;5;67;675;85;17;1;0;4;2;1;3;1;0;0;1;0
