Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
31/8/24;Villareal;1;1;9;2;42;372;81;11;3;1;3;0;0;0;0;1;0;1;0
26/8/24;Villareal;1;6;20;9;56;565;89;7;3;0;4;0;0;0;0;0;1;1;0
23/8/24;Villareal;1;1;8;6;39;357;74;8;5;0;2;0;0;0;1;0;0;1;0
19/8/24;Villareal;1;17;9;4;56;592;87;12;3;0;3;0;0;0;0;1;0;1;0
25/5/24;Villareal;1;1;11;3;57;490;87;6;3;0;4;0;0;0;0;1;0;1;0
19/5/24;Villareal;1;3;12;6;57;685;91;12;2;0;3;0;0;0;0;1;0;1;0
14/5/24;Villareal;1;1;11;3;33;386;83;14;3;1;1;0;0;0;1;0;0;1;0
11/5/24;Villareal;1;4;8;4;40;361;78;14;5;0;1;0;0;0;0;0;1;1;0
5/5/24;Villareal;1;1;11;3;46;522;87;5;0;1;1;0;0;0;0;0;1;1;0
28/4/24;Villareal;1;3;20;4;55;493;87;8;1;0;6;0;0;0;0;0;1;1;0
21/4/24;Villareal;1;1;11;3;43;388;84;16;4;0;2;0;0;0;1;0;0;1;0
14/4/24;Villareal;1;1;10;2;47;459;80;12;1;1;1;0;0;0;0;1;0;1;0
1/4/24;Villareal;1;4;14;8;48;482;84;22;3;0;3;0;0;0;1;0;0;1;0
17/3/24;Villareal;1;1;14;7;47;418;74;12;1;0;2;0;0;0;0;0;1;1;0
14/3/24;Villareal;5;2;7;2;36;271;67;12;5;0;3;0;0;0;0;0;1;1;0
10/3/24;Villareal;1;1;6;4;46;445;85;17;2;1;4;0;0;0;1;0;0;1;0
7/3/24;Villareal;5;1;5;0;40;346;84;15;3;1;3;0;0;0;0;0;1;1;0
3/3/24;Villareal;1;6;9;3;52;457;85;15;2;0;4;0;0;0;0;0;1;1;0
23/2/24;Villareal;1;1;6;4;29;251;72;14;4;0;2;0;0;0;1;0;0;1;0
16/2/24;Villareal;1;1;11;2;44;369;62;13;1;0;3;0;0;0;0;1;0;1;0
10/2/24;Villareal;1;1;13;4;49;383;80;11;2;0;9;0;0;0;0;1;0;1;0
4/2/24;Villareal;1;1;8;2;40;343;71;14;1;0;2;0;0;0;0;1;0;1;0
27/1/24;Villareal;1;1;9;6;28;270;72;13;4;0;0;0;0;0;1;0;0;1;0
20/1/24;Villareal;1;9;8;2;49;409;76;11;2;0;6;0;0;0;0;1;0;1;0
13/1/24;Villareal;1;1;17;3;44;414;85;11;3;0;6;0;0;0;0;0;1;1;0
8/1/24;Villareal;19;3;13;4;57;508;77;16;6;0;7;0;0;0;0;1;0;1;0
2/1/24;Villareal;1;0;8;4;55;503;85;15;5;0;3;0;0;0;0;0;1;1;0
20/12/23;Villareal;1;1;15;5;53;490;85;15;4;0;7;0;0;0;0;0;1;1;0
17/12/23;Villareal;1;1;3;1;39;427;84;12;3;0;0;0;0;0;0;0;1;1;0
14/12/23;Villareal;5;1;13;5;46;397;78;15;3;0;3;0;0;0;1;0;0;1;0
9/12/23;Villareal;1;7;16;5;48;412;82;22;1;0;3;0;0;0;1;0;0;1;0
6/12/23;Villareal;5;6;4;0;36;337;82;12;2;0;3;0;0;0;0;1;0;1;0
3/12/23;Villareal;1;1;5;4;43;405;83;16;3;0;4;0;0;0;0;1;0;1;0
30/11/23;Villareal;5;3;10;3;45;422;83;13;1;0;3;0;0;0;0;0;1;1;0
26/11/23;Villareal;1;3;15;7;56;546;84;14;0;0;4;0;0;0;0;0;1;1;0
22/11/23;Villareal;19;1;32;8;71;879;90;9;2;0;13;0;0;0;1;0;0;1;0
12/11/23;Villareal;1;1;11;7;51;592;87;8;2;0;3;0;0;0;0;0;1;1;0
9/11/23;Villareal;5;3;24;10;65;596;90;13;3;0;6;0;0;0;1;0;0;1;0
5/11/23;Villareal;1;3;17;7;42;388;76;18;4;0;3;0;0;0;1;0;0;1;0
2/11/23;Villareal;19;3;19;13;76;650;87;4;0;0;8;0;0;0;1;0;0;1;0
30/10/23;Villareal;1;1;6;5;55;499;85;15;4;0;1;0;0;0;1;0;0;1;0
22/10/23;Villareal;1;3;16;7;31;263;69;10;3;0;3;0;0;0;0;1;0;1;0
