Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
4/9/22;Udinese;4;2;11;5;43;386;82;16;3;0;3;1;3;4;1;0;0;0;1
31/8/22;Udinese;4;2;8;3;25;233;70;13;1;0;3;1;0;1;1;0;0;0;1
26/8/22;Udinese;4;2;15;4;43;368;82;10;2;0;5;1;1;2;1;0;0;1;0
20/8/22;Udinese;4;2;15;2;46;377;74;9;2;1;6;0;0;0;0;1;0;0;1
13/8/22;Udinese;4;2;9;4;40;343;81;13;4;0;1;2;0;2;0;0;1;1;0
5/8/22;Udinese;-1;2;10;2;62;546;84;15;1;0;8;1;1;2;1;0;0;0;1
29/7/22;Udinese;6;2;5;3;32;321;77;10;0;0;1;1;0;1;0;0;1;0;1
22/5/22;Udinese;4;2;19;11;47;445;82;12;1;0;1;3;1;4;1;0;0;1;0
14/5/22;Udinese;4;2;17;6;62;510;84;19;3;0;4;1;1;2;0;0;1;0;1
7/5/22;Udinese;4;2;13;6;40;360;82;18;2;0;9;0;1;1;0;1;0;1;0
1/5/22;Udinese;4;2;7;3;47;428;86;12;2;0;5;0;1;1;0;0;1;0;1
27/4/22;Udinese;4;2;17;8;27;201;65;22;4;0;2;2;2;4;1;0;0;1;0
24/4/22;Udinese;4;2;17;5;44;345;80;22;2;0;4;1;1;2;0;1;0;1;0
20/4/22;Udinese;4;2;12;3;55;388;74;20;3;0;9;0;0;0;0;0;1;0;1
16/4/22;Udinese;4;2;13;5;38;298;75;19;1;0;4;1;3;4;1;0;0;0;1
10/4/22;Udinese;4;2;16;5;46;297;74;11;2;0;11;1;1;2;1;0;0;1;0
3/4/22;Udinese;4;2;24;11;52;439;84;19;2;0;2;2;3;5;1;0;0;0;1
19/3/22;Udinese;4;2;10;3;36;331;77;12;2;1;4;1;0;1;0;0;1;1;0
13/3/22;Udinese;4;2;11;5;36;328;78;16;3;0;6;1;0;1;0;1;0;0;1
27/9/24;Lecce;4;0;16;7;43;372;88;8;1;0;7;0;0;0;0;0;1;1;0
24/9/24;Lecce;-1;3;14;7;65;572;87;10;0;0;8;0;0;0;0;0;1;0;1
21/9/24;Lecce;4;3;14;3;38;323;80;12;4;1;2;1;1;2;0;1;0;0;1
15/9/24;Lecce;4;3;20;6;46;397;80;13;3;0;7;0;0;0;0;1;0;1;0
31/8/24;Lecce;4;3;17;4;34;253;71;10;1;1;7;1;0;1;1;0;0;0;1
24/8/24;Lecce;4;3;10;4;38;366;86;12;2;0;6;0;0;0;0;0;1;1;0
12/8/24;Lecce;-1;3;23;9;36;336;86;20;0;0;8;1;1;2;1;0;0;0;1
24/7/24;Lecce;6;1;17;6;47;425;84;22;3;0;4;0;1;1;0;0;1;1;0
26/5/24;Lecce;4;8;10;0;32;329;73;17;0;0;1;0;0;0;0;1;0;1;0
