Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Michael Zetterer-Werder Bremen;Niklas Stark-Werder Bremen;Marco Friedl-Werder Bremen;Amos Pieper-Werder Bremen;Mitchell Weiser-Werder Bremen;Jens Stage-Werder Bremen;Senne Lynen-Werder Bremen;Romano Schmid-Werder Bremen;Felix Agu-Werder Bremen;Oliver Burke-Werder Bremen;Marvin Ducksch-Werder Bremen;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Justin Njinmah-Werder Bremen;Miloš Veljković-Werder Bremen;Anthony Jung-Werder Bremen;Issa Kaboré-Werder Bremen;André Silva-Werder Bremen;Leonardo Bittencourt-Werder Bremen;Julián Malatini-Werder Bremen;Marco Grüll-Werder Bremen;Derrick Köhn-Werder Bremen;Skelly Alvero-Werder Bremen;Keke Topp-Werder Bremen;Nick Woltemade-Werder Bremen;Christian Groß-Werder Bremen;Olivier Deman-Werder Bremen;Rafael Santos Borré-Werder Bremen;Dawid Kownacki-Werder Bremen;Jiří Pavlenka-Werder Bremen;Nicolai Rapp-Werder Bremen;Naby Keïta-Werder Bremen;Niclas Füllkrug-Werder Bremen;Ilia Gruev-Werder Bremen;Lee Buchanan-Werder Bremen;Niklas Schmidt-Werder Bremen;Maximilian Philipp-Werder Bremen;Fabio Chiarodia-Werder Bremen
2024-12-07;Werder Bremen;9;1;6;171;178;Bochum;1;1;9;12;1;2;0.48;0.52;439;0.76;10;12;1;1;0;0;5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;9;0.043333333333333335;0.1;334;0.029940119760479042;695.8333333333334;0.5555555555555556;10.416666666666668;-3;-0.040000000000000036;-4;0;-2;0.02050113895216401;0.1111111111111111;0.48;5.0;0;1;1;1;0;0;1;0;0.1111111111111111;1.0;0.002277904328018223;9.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-03;Werder Bremen;23;6;17;171;191;SV Darmstadt 98;4;4;20;5;5;1;0.66;0.34;725;0.87;12;12;4;4;0;0;5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0;0.068;0.3333333333333333;631;0.01901743264659271;956.060606060606;0.25;7.575757575757575;15;0.32;5;0;0;0.027586206896551724;0.05;0.66;5.0;0;1;1;1;0;0;0;1;0.05;0.2;0.001379310344827586;20.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-30;Werder Bremen;9;1;3;171;18;Stuttgart;1;1;20;10;6;4;0.42;0.58;396;0.8;8;13;1;1;0;0;11;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;2;0.057999999999999996;0.125;317;0.025236593059936908;754.7619047619048;0.55;26.19047619047619;10;-0.15999999999999998;9;0;-5;0.050505050505050504;0.1;0.21;5.5;1;1;2;0;1;0;0;1;0.1;0.3333333333333333;0.005050505050505051;10.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-23;Werder Bremen;9;17;1;171;87;Frankfurt;2;2;8;15;1;5;0.5;0.5;467;0.79;9;15;2;2;0;0;6;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;5;0.03333333333333333;0.2222222222222222;369;0.024390243902439025;738.0;0.75;12.0;-7;0.0;1;0;-6;0.017130620985010708;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;Werder Bremen;9;17;2;171;177;KSV Holstein;3;2;16;12;5;5;0.61;0.39;534;0.83;10;19;3;2;0;0;6;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0325;0.3;443;0.022573363431151242;726.2295081967213;0.375;9.836065573770492;4;0.21999999999999997;3;1;-9;0.0299625468164794;0.125;0.305;3.0;1;1;2;1;0;0;0;1;0.125;0.4;0.003745318352059925;8.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-03;Werder Bremen;9;17;3;171;172;Mönchengladbach;3;1;15;16;5;8;0.53;0.47;531;0.85;10;12;2;1;1;0;7;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;7;0.029375;0.3;451;0.022172949002217297;850.9433962264151;0.4666666666666667;13.20754716981132;-1;0.06000000000000005;0;2;-2;0.02824858757062147;0.06666666666666667;0.53;7.0;0;1;1;0;0;1;1;0;0.06666666666666667;0.2;0.0018832391713747645;15.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-30;Werder Bremen;23;17;6;171;181;Paderborn;3;1;11;18;3;6;0.52;0.48;503;0.84;9;16;3;1;0;0;6;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;7;0.026666666666666665;0.3333333333333333;423;0.02127659574468085;813.4615384615385;0.5454545454545454;11.538461538461538;-7;0.040000000000000036;-1;2;-7;0.02186878727634195;0.09090909090909091;0.52;6.0;1;0;1;1;0;0;1;0;0.09090909090909091;0.3333333333333333;0.0019880715705765406;11.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-26;Werder Bremen;9;17;17;171;6;Leverkusen;1;1;13;14;8;5;0.43;0.57;468;0.8;9;11;1;1;0;0;3;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;5;0.04071428571428571;0.1111111111111111;374;0.02406417112299465;869.7674418604652;0.23076923076923078;6.976744186046512;-1;-0.13999999999999996;-2;0;-2;0.027777777777777776;0.15384615384615385;0.215;1.5;0;2;2;0;1;0;0;1;0.15384615384615385;0.25;0.004273504273504274;6.5;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-20;Werder Bremen;9;17;29;171;175;Wolfsburg;1;2;15;14;7;6;0.58;0.42;533;0.82;9;15;1;1;0;1;4;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;4;0.03;0.1111111111111111;437;0.020594965675057208;753.4482758620691;0.26666666666666666;6.8965517241379315;1;0.15999999999999998;0;-1;-6;0.028142589118198873;0.26666666666666666;0.145;1.0;1;3;4;1;0;0;1;0;0.26666666666666666;0.5714285714285714;0.0075046904315197;3.75;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-05;Werder Bremen;9;17;3;171;170;Friburgo;1;1;12;15;3;3;0.59;0.41;614;0.84;7;9;1;1;0;0;7;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;5;0.02733333333333333;0.14285714285714285;516;0.013565891472868217;874.5762711864407;0.5833333333333334;11.864406779661017;-3;0.18;2;0;-2;0.019543973941368076;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
