Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Julen Agirrezabala-Athletic;Óscar de Marcos-Athletic;Dani Vivian-Athletic;Yeray Álvarez-Athletic;Iñigo Lekue-Athletic;Mikel Jauregizar-Athletic;Iñigo Ruiz de Galarreta-Athletic;Álex Berenguer-Athletic;Oihan Sancet-Athletic;Nico Williams-Athletic;Maroan Sannadi-Athletic;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Unai Simón-Athletic;Andoni Gorosabel-Athletic;Aitor Paredes-Athletic;Adama Boiro-Athletic;Beñat Prados-Athletic;Álvaro Djaló-Athletic;Unai Gómez-Athletic;Gorka Guruzeta-Athletic;Iñaki Williams-Athletic;Yuri Berchiche Izeta-Athletic;Unai Núñez-Athletic;Mikel Vesga-Athletic;Peio Canales-Athletic;Ander Herrera-Athletic;Nico Serrano-Athletic;Álex Padilla-Athletic;Dani García-Athletic;Asier Villalibre-Athletic;Iker Muniain-Athletic;Raúl García Escudero-Athletic;Imanol García de Albéniz-Athletic;Malcom Adu Ares-Athletic;Peru Nolaskoain-Athletic;Unai Egiluz-Athletic;Oier Zarraga-Athletic;Íñigo Martínez-Athletic;Ander Capa-Athletic;Mikel Balenziaga-Athletic
2025-01-04;Athletic;19;3;1;38;-1;UD Logroñés;5;2;18;4;5;1;0.62;0.38;754;0.81;19;17;5;2;0;0;5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1;0.095;0.2631578947368421;611;0.0310965630114566;985.483870967742;0.2777777777777778;8.064516129032258;14;0.24;4;3;2;0.0238726790450928;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Athletic;1;3;0;38;41;Osasuna;1;0;13;6;8;3;0.47;0.53;391;0.8;13;10;1;0;0;0;3;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;4;0.0883333333333333;0.0769230769230769;313;0.0415335463258785;665.9574468085107;0.2307692307692307;6.382978723404256;7;-0.06;-1;1;3;0.0332480818414322;0.1538461538461538;0.235;1.5;1;1;2;1;0;0;1;0;0.1538461538461538;0.25;0.0051150895140664;6.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;Athletic;1;3;3;38;45;Alavés;2;2;9;6;2;3;0.47;0.53;379;0.77;17;14;2;2;0;0;4;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;2;0.0883333333333333;0.1176470588235294;292;0.0582191780821917;621.2765957446809;0.4444444444444444;8.51063829787234;3;-0.06;2;0;3;0.0237467018469656;0.1111111111111111;0.47;4.0;1;0;1;0;1;0;1;0;0.1111111111111111;0.5;0.0026385224274406;9.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-11;Athletic;5;3;3;38;94;Fenerbahçe;3;2;9;4;5;1;0.46;0.54;477;0.79;21;12;3;1;0;1;3;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;5;0.135;0.1428571428571428;377;0.0557029177718832;819.5652173913043;0.3333333333333333;6.521739130434782;5;-0.08;-2;1;9;0.0188679245283018;0.2222222222222222;0.23;1.5;2;0;2;1;0;0;1;0;0.2222222222222222;0.4;0.0041928721174004;4.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Athletic;1;3;1;38;37;Villarreal;2;1;12;11;4;1;0.42;0.58;392;0.81;15;10;2;1;0;0;3;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;3;0.0527272727272727;0.1333333333333333;318;0.0471698113207547;757.1428571428572;0.25;7.142857142857143;1;-0.1599999999999999;0;1;5;0.0306122448979591;0.1666666666666666;0.21;1.5;1;1;2;1;0;0;0;1;0.1666666666666666;0.5;0.0051020408163265;6.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-04;Athletic;1;3;1;38;12;Real Madrid;3;3;9;10;3;5;0.36;0.64;341;0.79;21;9;3;3;0;0;5;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;2;0.064;0.1428571428571428;269;0.0780669144981412;747.2222222222223;0.5555555555555556;13.88888888888889;-1;-0.28;3;0;12;0.0263929618768328;0.2222222222222222;0.18;2.5;0;2;2;1;0;0;0;1;0.2222222222222222;0.6666666666666666;0.0058651026392961;4.5;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-01;Athletic;1;3;1;38;42;Rayo Vallecano;0;3;12;7;7;4;0.53;0.47;448;0.75;8;14;0;3;0;0;7;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1;0.0671428571428571;0.0;336;0.0238095238095238;633.9622641509434;0.5833333333333334;13.20754716981132;5;0.06;6;-3;-6;0.0267857142857142;0.1666666666666666;0.265;3.5;0;2;2;1;0;0;1;0;0.1666666666666666;0.2857142857142857;0.0044642857142857;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-28;Athletic;5;3;6;38;99;Elfsborg;1;1;19;2;6;0;0.71;0.29;647;0.89;13;13;1;1;0;0;10;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0;0.145;0.0769230769230769;576;0.0225694444444444;811.2676056338029;0.5263157894736842;14.084507042253522;17;0.42;10;0;0;0.0293663060278207;0.1578947368421052;0.2366666666666666;3.333333333333333;2;1;3;1;0;0;0;1;0.1578947368421052;0.5;0.0046367851622874;6.333333333333333;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Athletic;1;3;7;38;46;Real Sociedad;3;4;12;6;4;1;0.39;0.61;313;0.73;18;9;3;4;0;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;4;0.1016666666666666;0.1666666666666666;228;0.0789473684210526;584.6153846153846;0.3333333333333333;10.256410256410255;6;-0.2199999999999999;0;-1;9;0.0383386581469648;0.0833333333333333;0.39;4.0;1;0;1;1;0;0;0;1;0.0833333333333333;0.25;0.0031948881789137;12.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-10;Athletic;1;3;9;38;51;Valladolid;4;4;17;6;1;3;0.66;0.34;543;0.86;12;12;4;4;0;0;5;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;5;0.0566666666666666;0.3333333333333333;467;0.025695931477516;707.5757575757575;0.2941176470588235;7.575757575757575;11;0.32;0;0;0;0.0313075506445672;0.0588235294117647;0.66;5.0;0;1;1;0;1;0;1;0;0.0588235294117647;1.0;0.001841620626151;17.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
