Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Sergio Herrera Pirón-Osasuna;Jesús Areso-Osasuna;Enzo Boyomo-Osasuna;Alejandro Catena Marugán-Osasuna;Jorge Herrando-Osasuna;Abel Bretones-Osasuna;Jon Moncayola-Osasuna;Lucas Torró-Osasuna;Aimar Oroz-Osasuna;Ante Budimir-Osasuna;Rubén García Santos-Osasuna;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Aitor Fernández Abarisketa-Osasuna;Juan Cruz Álvaro Armada-Osasuna;Pablo Ibáñez Lumbreras-Osasuna;Iker Muñoz-Osasuna;José Arnaiz-Osasuna;Raúl García de Haro-Osasuna;Bryan Zaragoza-Osasuna;Rubén Peña Jiménez-Osasuna;Moi Gómez-Osasuna;Kike Barja-Osasuna;Nacho Vidal Miralles-Osasuna;Unai García-Osasuna;Iker Benito-Osasuna;Johan Mojica-Osasuna;David García-Osasuna;Darko Brašanac-Osasuna;Ezequiel Ávila-Osasuna;Aridane Hernández-Osasuna;Manuel Sánchez de la Peña-Osasuna;Abde Ezzalzouli-Osasuna;Diego Moreno Garbayo-Osasuna;Kike García-Osasuna;Roberto Torres Morales-Osasuna
2024-12-05;Osasuna;19;0;8;41;814;AD Ceuta;1;1;11;11;4;5;0.56;0.44;434;0.81;9;13;1;1;0;0;3;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2;0.04;0.1111111111111111;352;0.02556818181818182;628.5714285714286;0.2727272727272727;5.357142857142857;0;0.12000000000000005;1;0;-4;0.02534562211981567;0.2727272727272727;0.18666666666666668;1.0;0;3;3;1;0;0;1;0;0.2727272727272727;0.75;0.0069124423963133645;3.6666666666666665;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-02;Osasuna;1;0;0;41;43;Sevilla;1;1;7;12;3;5;0.35;0.65;256;0.66;15;11;1;1;0;0;1;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;5;0.05416666666666667;0.06666666666666667;169;0.08875739644970414;482.8571428571429;0.14285714285714285;2.857142857142857;-5;-0.30000000000000004;-4;0;4;0.02734375;0.14285714285714285;0.35;1.0;0;1;1;0;1;0;1;0;0.14285714285714285;0.3333333333333333;0.00390625;7.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Osasuna;1;0;1;41;37;Villarreal;6;4;4;16;3;7;0.4;0.6;348;0.73;12;13;6;4;0;0;0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;8;0.0375;0.5;254;0.047244094488188976;635.0;0.0;0.0;-12;-0.19999999999999996;-8;2;-1;0.011494252873563218;0.5;0.2;0.0;2;0;2;0;1;0;0;1;0.5;0.6666666666666666;0.005747126436781609;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;Osasuna;1;0;0;41;12;Real Madrid;2;0;2;18;0;8;0.31;0.69;288;0.74;16;9;2;0;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;11;0.03833333333333333;0.125;213;0.07511737089201878;687.0967741935484;1.5;9.67741935483871;-16;-0.37999999999999995;-8;2;7;0.006944444444444444;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-05;Osasuna;19;0;3;41;-1;Chiclana;0;1;23;5;11;2;0.69;0.31;459;0.84;10;17;0;1;0;0;6;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;3;0.062;0.0;386;0.025906735751295335;559.4202898550725;0.2608695652173913;8.695652173913045;18;0.37999999999999995;3;-1;-7;0.05010893246187364;0.21739130434782608;0.13799999999999998;1.2;0;5;5;1;0;0;1;0;0.21739130434782608;0.45454545454545453;0.010893246187363835;4.6;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-02;Osasuna;1;0;3;41;51;Valladolid;1;5;20;7;4;4;0.49;0.51;351;0.75;21;12;1;5;0;0;7;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;2;0.07285714285714286;0.047619047619047616;263;0.07984790874524715;536.7346938775511;0.35;14.285714285714286;13;-0.020000000000000018;5;-4;9;0.05698005698005698;0.05;0.49;7.0;1;0;1;1;0;0;0;1;0.05;0.25;0.002849002849002849;20.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-27;Osasuna;1;0;7;41;46;Real Sociedad;4;3;10;19;4;9;0.24;0.76;199;0.64;14;7;4;3;0;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;14;0.04;0.2857142857142857;127;0.11023622047244094;529.1666666666667;0.4;16.666666666666668;-9;-0.52;-10;1;7;0.05025125628140704;0.2;0.12;2.0;2;0;2;1;0;0;1;0;0.2;0.5;0.010050251256281407;5.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-19;Osasuna;1;0;1;41;39;Betis;2;2;19;11;6;7;0.55;0.45;374;0.76;12;8;2;1;0;1;10;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;2;0.04090909090909091;0.16666666666666666;284;0.04225352112676056;516.3636363636364;0.5263157894736842;18.18181818181818;8;0.10000000000000003;8;0;4;0.05080213903743316;0.05263157894736842;0.55;10.0;0;1;1;0;0;1;0;1;0.05263157894736842;0.16666666666666666;0.00267379679144385;19.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-05;Osasuna;1;0;1;41;48;Getafe;4;2;6;11;2;3;0.61;0.39;334;0.68;10;17;4;2;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.035454545454545454;0.4;227;0.04405286343612335;372.1311475409836;0.3333333333333333;3.278688524590164;-5;0.21999999999999997;-2;2;-7;0.017964071856287425;0.16666666666666666;0.61;2.0;0;1;1;0;1;0;1;0;0.16666666666666666;0.5;0.0029940119760479044;6.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-28;Osasuna;1;0;0;41;10;Barcelona;2;2;11;12;5;6;0.25;0.75;218;0.64;13;3;2;2;0;0;5;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;8;0.0625;0.15384615384615385;140;0.09285714285714286;560.0;0.45454545454545453;20.0;-1;-0.5;-3;0;10;0.05045871559633028;0.36363636363636365;0.0625;1.25;2;2;4;1;0;0;0;1;0.36363636363636365;0.8;0.01834862385321101;2.75;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
