Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Florian Müller-Friburgo;Max Rosenfelder-Friburgo;Matthias Ginter-Friburgo;Philipp Lienhart-Friburgo;Jordy Makengo-Friburgo;Ritsu Dōan-Friburgo;Maximilian Eggestein-Friburgo;Patrick Osterhage-Friburgo;Vincenzo Grifo-Friburgo;Johan Manzambi-Friburgo;Junior Adamu-Friburgo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Lucas Höler-Friburgo;Lukas Kübler-Friburgo;Christian Günter-Friburgo;Noah Atubolu-Friburgo;Kiliann Sildillia-Friburgo;Michael Gregoritsch-Friburgo;Eren Dinkci-Friburgo;Merlin Röhl-Friburgo;Nicolas Höfler-Friburgo;Maximilian Philipp-Friburgo;Bruno Ogbus-Friburgo;Yannik Keitel-Friburgo;Roland Sallai-Friburgo;Manuel Gulde-Friburgo;Noah Weißhaupt-Friburgo;Kenneth Schmidt-Friburgo;Mark Flekken-Friburgo;Jeong Woo-yeong-Friburgo;Daniel-Kofi Kyereh-Friburgo
2024-11-30;Friburgo;9;3;3;170;172;Mönchengladbach;1;1;17;15;7;4;0.48;0.52;445;0.82;5;14;1;1;0;0;4;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;6;0.0346666666666666;0.2;365;0.0136986301369863;760.4166666666667;0.2352941176470588;8.333333333333334;2;-0.04;-2;0;-9;0.0382022471910112;0.1764705882352941;0.16;1.3333333333333333;1;2;3;1;0;0;0;1;0.1764705882352941;0.4285714285714285;0.0067415730337078;5.666666666666667;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-23;Friburgo;9;3;7;170;11;Dortmund;2;1;7;19;3;7;0.4;0.6;439;0.82;4;11;0;1;2;0;0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;7;0.031578947368421;0.5;360;0.0111111111111111;900.0;0.0;0.0;-12;-0.1999999999999999;-7;1;-7;0.0159453302961275;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-08;Friburgo;9;3;17;170;169;FC Union Berlin;0;2;14;12;4;6;0.6;0.4;574;0.83;8;11;0;2;0;0;1;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0333333333333333;0.0;476;0.0168067226890756;793.3333333333334;0.0714285714285714;1.6666666666666667;2;0.1999999999999999;-3;-2;-3;0.024390243902439;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-03;Friburgo;9;3;17;170;174;Mainz 05;1;2;10;9;2;2;0.51;0.49;482;0.78;9;12;1;2;0;0;8;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0544444444444444;0.1111111111111111;376;0.0239361702127659;737.2549019607843;0.8;15.68627450980392;1;0.02;4;-1;-3;0.0207468879668049;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-30;Friburgo;23;3;30;170;183;Hamburg;0;1;13;10;5;4;0.48;0.52;457;0.85;7;10;0;1;0;0;6;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;5;0.052;0.0;388;0.018041237113402;808.3333333333334;0.4615384615384615;12.5;3;-0.04;1;-1;-3;0.0284463894967177;0.1538461538461538;0.24;3.0;2;0;2;1;0;0;0;1;0.1538461538461538;0.4;0.0043763676148796;6.5;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-26;Friburgo;9;3;13;170;31;RB Leipzig;2;3;15;12;5;9;0.58;0.42;559;0.84;7;9;2;3;0;0;3;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;3;0.0349999999999999;0.2857142857142857;470;0.0148936170212765;810.344827586207;0.2;5.172413793103448;3;0.1599999999999999;0;-1;-2;0.0268336314847942;0.0666666666666666;0.58;3.0;1;0;1;0;0;1;1;0;0.0666666666666666;0.2;0.0017889087656529;15.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-19;Friburgo;9;3;2;170;173;Augsburgo;1;1;15;9;6;3;0.57;0.43;575;0.82;11;7;1;1;0;0;5;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0477777777777777;0.0909090909090909;472;0.0233050847457627;828.0701754385966;0.3333333333333333;8.771929824561404;6;0.1399999999999999;1;0;4;0.0260869565217391;0.2;0.1899999999999999;1.6666666666666667;3;0;3;1;0;0;0;1;0.2;0.5;0.0052173913043478;5.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-05;Friburgo;9;3;17;170;171;Werder Bremen;1;1;15;12;3;3;0.41;0.59;441;0.8;9;7;1;1;0;0;5;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;7;0.0491666666666666;0.1111111111111111;353;0.0254957507082152;860.9756097560976;0.3333333333333333;12.195121951219512;3;-0.18;-2;0;2;0.0340136054421768;0.0666666666666666;0.41;5.0;0;1;1;1;0;0;1;0;0.0666666666666666;0.3333333333333333;0.0022675736961451;15.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-28;Friburgo;9;3;6;170;176;St. Pauli;3;3;9;10;2;4;0.74;0.26;632;0.86;7;18;3;3;0;0;4;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.026;0.4285714285714285;544;0.0128676470588235;735.1351351351351;0.4444444444444444;5.405405405405405;-1;0.48;2;0;-11;0.0142405063291139;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-21;Friburgo;9;3;30;170;142;Heidenheim;1;1;15;7;5;1;0.58;0.42;514;0.79;7;6;1;1;0;0;9;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.06;0.1428571428571428;406;0.0172413793103448;700.0;0.6;15.517241379310343;8;0.1599999999999999;6;0;1;0.0291828793774319;0.2;0.1933333333333333;3.0;0;3;3;1;0;0;1;0;0.2;0.6;0.0058365758754863;5.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-14;Friburgo;9;3;1;170;178;Bochum;0;3;26;13;9;3;0.55;0.45;438;0.78;5;16;0;3;0;0;5;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.0346153846153846;0.0;342;0.0146198830409356;621.8181818181818;0.1923076923076923;9.09090909090909;13;0.1;-1;-3;-11;0.0593607305936073;0.0769230769230769;0.275;2.5;0;2;2;1;0;0;0;1;0.0769230769230769;0.2222222222222222;0.0045662100456621;13.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-01;Friburgo;9;3;7;170;23;Bayern;0;1;9;12;3;3;0.33;0.67;351;0.74;12;13;0;1;0;0;4;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.0558333333333333;0.0;260;0.0461538461538461;787.8787878787879;0.4444444444444444;12.12121212121212;-3;-0.34;2;-1;-1;0.0256410256410256;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
