Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Christos Mandas-Lazio;Manuel Lazzari-Lazio;Mario Gila-Lazio;Alessio Romagnoli-Lazio;Adam Marušić-Lazio;Nicolò Rovella-Lazio;Mattéo Guendouzi-Lazio;Gustav Isaksen-Lazio;Pedro-Lazio;Mattia Zaccagni-Lazio;Valentín Mariano Castellanos-Lazio;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Samuel Gigot-Lazio;Luca Pellegrini-Lazio;Fisayo Dele-Bashiru-Lazio;Elseid Hysaj-Lazio;Matías Vecino-Lazio;Boulaye Dia-Lazio;Nuno Tavares-Lazio;Reda Belahyane-Lazio;Loum Tchaouna-Lazio;Ivan Provedel-Lazio;Patricio Gabarrón-Lazio;Tijjani Noslin-Lazio;Gaetano Castrovilli-Lazio;Nicolò Casale-Lazio;Daichi Kamada-Lazio;Felipe Anderson-Lazio;Ciro Immobile-Lazio;Luis Alberto Romero Alconchel-Lazio;Danilo Cataldi-Lazio;Sergej Milinković-Savić-Lazio;Marcos Antônio Silva Santos-Lazio;Matteo Cancellieri-Lazio;Toma Bašić-Lazio;Luís Maximiano-Lazio
2025-01-05;Lazio;4;3;2;71;74;Roma;6;4;16;7;6;5;0.68;0.32;541;0.92;19;12;5;4;1;0;10;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.0457142857142857;0.3157894736842105;498;0.038152610441767;732.3529411764705;0.625;14.705882352941176;9;0.36;7;2;7;0.0295748613678373;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-28;Lazio;4;3;29;71;17;Atalanta;2;3;11;14;5;4;0.4;0.6;368;0.79;6;11;2;3;0;0;2;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.0428571428571428;0.3333333333333333;291;0.0206185567010309;727.5;0.1818181818181818;5.0;-3;-0.1999999999999999;-5;-1;-5;0.029891304347826;0.0909090909090909;0.4;2.0;1;0;1;0;1;0;0;1;0.0909090909090909;0.2;0.0027173913043478;11.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Lazio;4;3;0;71;82;Lecce;2;4;13;11;7;2;0.6;0.4;523;0.87;12;13;2;3;0;1;6;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;6;0.0363636363636363;0.1666666666666666;455;0.0263736263736263;758.3333333333334;0.4615384615384615;10.0;2;0.1999999999999999;0;-2;-1;0.0248565965583174;0.1538461538461538;0.3;3.0;1;1;2;1;0;0;1;0;0.1538461538461538;0.2857142857142857;0.0038240917782026;6.5;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-16;Lazio;4;3;30;71;7;Inter;2;4;9;12;2;7;0.52;0.48;482;0.86;7;14;2;4;0;0;4;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.04;0.2857142857142857;415;0.016867469879518;798.0769230769231;0.4444444444444444;7.692307692307692;-3;0.04;2;-2;-7;0.0186721991701244;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-12;Lazio;5;3;0;71;85;Ajax;3;3;9;16;6;6;0.45;0.55;489;0.84;18;8;3;3;0;0;0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2;0.034375;0.1666666666666666;411;0.0437956204379562;913.3333333333331;0.0;0.0;-7;-0.1;-2;0;10;0.0184049079754601;0.3333333333333333;0.15;0.0;1;2;3;1;0;0;1;0;0.3333333333333333;0.5;0.0061349693251533;3.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Lazio;4;3;0;71;69;Napoli;3;2;7;12;3;1;0.43;0.57;408;0.83;12;16;3;2;0;0;2;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;6;0.0474999999999999;0.25;339;0.0353982300884955;788.3720930232558;0.2857142857142857;4.651162790697675;-5;-0.1399999999999999;-4;1;-4;0.017156862745098;0.1428571428571428;0.43;2.0;0;1;1;1;0;0;1;0;0.1428571428571428;0.3333333333333333;0.0024509803921568;7.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-05;Lazio;35;3;3;71;69;Napoli;2;2;11;9;5;3;0.51;0.49;481;0.85;8;15;2;2;0;0;7;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;7;0.0544444444444444;0.25;409;0.0195599022004889;801.9607843137255;0.6363636363636364;13.72549019607843;2;0.02;0;0;-7;0.0228690228690228;0.2727272727272727;0.17;2.333333333333333;2;1;3;1;0;0;0;1;0.2727272727272727;0.6;0.0062370062370062;3.6666666666666665;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-01;Lazio;4;0;3;71;76;Parma;3;4;23;12;8;4;0.72;0.28;560;0.87;13;17;3;4;0;0;10;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.0233333333333333;0.2307692307692307;487;0.0266940451745379;676.3888888888889;0.4347826086956521;13.88888888888889;11;0.4399999999999999;6;-1;-4;0.0410714285714285;0.0434782608695652;0.72;10.0;0;1;1;0;0;1;1;0;0.0434782608695652;0.125;0.0017857142857142;23.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-28;Lazio;5;1;7;71;110;Ludogorets;6;2;20;3;6;0;0.63;0.37;610;0.91;10;9;6;2;0;0;7;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3;0.1233333333333333;0.6;555;0.018018018018018;880.952380952381;0.35;11.11111111111111;17;0.26;4;4;1;0.0327868852459016;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Lazio;4;0;3;71;29;Bolonia;3;2;13;3;4;1;0.7;0.3;616;0.87;14;14;3;1;0;1;3;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0;0.0999999999999999;0.2142857142857142;536;0.0261194029850746;765.7142857142858;0.2307692307692307;4.285714285714286;10;0.3999999999999999;3;1;0;0.0211038961038961;0.2307692307692307;0.2333333333333333;1.0;0;3;3;1;0;0;0;1;0.2307692307692307;0.75;0.0048701298701298;4.333333333333333;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-10;Lazio;4;0;17;71;80;Monza;1;5;14;12;6;2;0.48;0.52;461;0.87;10;13;1;5;0;0;6;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;6;0.0433333333333333;0.1;401;0.0249376558603491;835.4166666666667;0.4285714285714285;12.5;2;-0.04;0;-4;-3;0.0303687635574837;0.0714285714285714;0.48;6.0;1;0;1;1;0;0;1;0;0.0714285714285714;0.1666666666666666;0.0021691973969631;14.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-07;Lazio;5;3;3;71;95;Porto;3;6;11;7;5;1;0.48;0.52;413;0.79;11;16;3;6;0;0;6;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;5;0.0742857142857142;0.2727272727272727;326;0.0337423312883435;679.1666666666667;0.5454545454545454;12.5;4;-0.04;1;-3;-5;0.0266343825665859;0.1818181818181818;0.24;3.0;1;1;2;1;0;0;0;1;0.1818181818181818;0.4;0.0048426150121065;5.5;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
