Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Nikola Vasilj-St. Pauli;David Nemeth-St. Pauli;Hauke Wahl-St. Pauli;Siebe Van der Heyden-St. Pauli;Manolis Saliakas-St. Pauli;Carlo Boukhalfa-St. Pauli;Eric Smith-St. Pauli;Philipp Treu-St. Pauli;Morgan Guilavogui-St. Pauli;Danel Sinani-St. Pauli;Noah Weißhaupt-St. Pauli;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Connor Metcalfe-St. Pauli;Adam Dźwigała-St. Pauli;Jackson Irvine-St. Pauli;Oladapo Afolayan-St. Pauli;Elias Saad-St. Pauli;Lars Ritzka-St. Pauli;Johannes Eggestein-St. Pauli;James Sands-St. Pauli;Karol Mets-St. Pauli;Robert Wagner-St. Pauli;Fin Stevens-St. Pauli;Aljoscha Kemlein-St. Pauli;Marcel Hartel-St. Pauli;Sascha Burchert-St. Pauli;Etienne Amenyido-St. Pauli;Simon Zoller-St. Pauli;Andreas Albers-St. Pauli;Jakov Medić-St. Pauli;Leart Paqarada-St. Pauli;Lukas Daschner-St. Pauli;Aremu Afeez-St. Pauli;Betim Fazliji-St. Pauli;Jannes Wieckhoff-St. Pauli;David Otto-St. Pauli;Marcel Beifus-St. Pauli;Igor Matanović-St. Pauli;Dennis Smarsch-St. Pauli
2024-11-29;St. Pauli;9;6;2;176;177;KSV Holstein;2;5;11;10;4;3;0.48;0.52;410;0.77;10;11;2;5;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;0.052;0.2;316;0.0316455696202531;658.3333333333334;0.3636363636363636;8.333333333333334;1;-0.04;0;-3;-1;0.0268292682926829;0.2727272727272727;0.16;1.3333333333333333;1;2;3;1;0;0;0;1;0.2727272727272727;0.75;0.0073170731707317;3.6666666666666665;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;St. Pauli;9;6;3;176;172;Mönchengladbach;0;1;15;15;3;4;0.51;0.49;550;0.87;8;7;0;1;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.0326666666666666;0.0;478;0.0167364016736401;937.2549019607844;0.2666666666666666;7.84313725490196;0;0.02;-1;-1;1;0.0272727272727272;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;St. Pauli;9;9;3;176;23;Bayern;2;2;3;13;0;6;0.25;0.75;268;0.73;10;7;2;2;0;0;5;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;10;0.0576923076923076;0.2;196;0.0510204081632653;784.0;1.6666666666666667;20.0;-10;-0.5;-5;0;3;0.0111940298507462;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-02;St. Pauli;9;17;29;176;97;Hoffenheim;1;0;7;12;3;6;0.32;0.68;306;0.71;10;10;1;0;0;0;2;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;7;0.0566666666666666;0.1;217;0.0460829493087557;678.125;0.2857142857142857;6.25;-5;-0.36;-5;1;0;0.022875816993464;0.2857142857142857;0.16;1.0;1;1;2;1;0;0;1;0;0.2857142857142857;0.6666666666666666;0.0065359477124183;3.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-29;St. Pauli;23;6;6;176;31;RB Leipzig;1;0;17;9;4;7;0.54;0.46;630;0.84;7;5;1;0;0;0;7;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;3;0.0511111111111111;0.1428571428571428;529;0.0132325141776937;979.6296296296296;0.4117647058823529;12.962962962962962;8;0.08;4;1;2;0.0269841269841269;0.1176470588235294;0.27;3.5;1;1;2;0;0;1;1;0;0.1176470588235294;0.5;0.0031746031746031;8.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-26;St. Pauli;9;6;3;176;175;Wolfsburg;0;3;14;9;5;4;0.54;0.46;499;0.8;9;12;0;3;0;0;7;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;6;0.0511111111111111;0.0;399;0.0225563909774436;738.8888888888888;0.5;12.962962962962962;5;0.08;1;-3;-3;0.0280561122244488;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-18;St. Pauli;9;6;3;176;11;Dortmund;1;2;10;20;3;7;0.24;0.76;250;0.75;7;8;1;2;0;0;1;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;7;0.038;0.1428571428571428;188;0.0372340425531914;783.3333333333334;0.1;4.166666666666667;-10;-0.52;-6;-1;-1;0.04;0.1;0.24;1.0;0;1;1;0;0;1;1;0;0.1;0.3333333333333333;0.004;10.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-05;St. Pauli;9;17;17;176;174;Mainz 05;0;3;19;8;4;4;0.56;0.44;504;0.79;12;16;0;3;0;0;2;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;2;0.055;0.0;398;0.0301507537688442;710.7142857142857;0.1052631578947368;3.571428571428571;11;0.12;0;-3;-4;0.0376984126984126;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-28;St. Pauli;9;6;3;176;170;Friburgo;3;3;10;9;4;2;0.26;0.74;235;0.65;18;7;3;3;0;0;2;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;4;0.0822222222222222;0.1666666666666666;153;0.1176470588235294;588.4615384615385;0.2;7.692307692307692;1;-0.48;-2;0;11;0.0425531914893617;0.3;0.0866666666666666;0.6666666666666666;2;1;3;1;0;0;1;0;0.3;0.75;0.0127659574468085;3.333333333333333;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-09-22;St. Pauli;9;6;1;176;31;RB Leipzig;2;1;17;10;4;5;0.3;0.7;325;0.71;6;8;2;1;0;0;3;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1;0.0699999999999999;0.3333333333333333;231;0.0259740259740259;770.0;0.1764705882352941;10.0;7;-0.3999999999999999;2;1;-2;0.0523076923076923;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
