Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Sergio Herrera Pirón-Osasuna;Jesús Areso-Osasuna;Enzo Boyomo-Osasuna;Alejandro Catena Marugán-Osasuna;Jorge Herrando-Osasuna;Abel Bretones-Osasuna;Jon Moncayola-Osasuna;Lucas Torró-Osasuna;Aimar Oroz-Osasuna;Ante Budimir-Osasuna;Rubén García Santos-Osasuna;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Aitor Fernández Abarisketa-Osasuna;Juan Cruz Álvaro Armada-Osasuna;Pablo Ibáñez Lumbreras-Osasuna;Iker Muñoz-Osasuna;José Arnaiz-Osasuna;Raúl García de Haro-Osasuna;Bryan Zaragoza-Osasuna;Rubén Peña Jiménez-Osasuna;Moi Gómez-Osasuna;Kike Barja-Osasuna;Nacho Vidal Miralles-Osasuna;Unai García-Osasuna;Iker Benito-Osasuna;Johan Mojica-Osasuna;David García-Osasuna;Darko Brašanac-Osasuna;Ezequiel Ávila-Osasuna;Aridane Hernández-Osasuna;Manuel Sánchez de la Peña-Osasuna;Abde Ezzalzouli-Osasuna;Diego Moreno Garbayo-Osasuna;Kike García-Osasuna;Roberto Torres Morales-Osasuna
2024-12-21;Osasuna;1;0;3;41;38;Athletic;0;1;6;13;3;8;0.53;0.47;429;0.78;10;13;0;1;0;0;4;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;3;0.0361538461538461;0.0;335;0.0298507462686567;632.0754716981131;0.6666666666666666;7.547169811320754;-7;0.06;1;-1;-3;0.0139860139860139;0.1666666666666666;0.53;4.0;1;0;1;0;0;1;0;1;0.1666666666666666;0.3333333333333333;0.0023310023310023;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Osasuna;1;1;1;41;49;RCD Espanyol;1;3;6;9;0;3;0.59;0.41;502;0.84;13;13;1;3;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.0455555555555555;0.0769230769230769;422;0.0308056872037914;715.2542372881356;0.6666666666666666;6.779661016949153;-3;0.18;-1;-2;0;0.0119521912350597;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Osasuna;1;3;8;41;45;Alavés;5;3;16;6;8;3;0.6;0.4;472;0.82;13;14;5;3;0;0;8;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.0666666666666666;0.3846153846153846;387;0.0335917312661498;645.0;0.5;13.333333333333334;10;0.1999999999999999;5;2;-1;0.0338983050847457;0.125;0.3;4.0;0;2;2;0;1;0;0;1;0.125;0.25;0.0042372881355932;8.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-05;Osasuna;19;0;8;41;814;AD Ceuta;1;1;11;11;4;5;0.56;0.44;434;0.81;9;13;1;1;0;0;3;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2;0.04;0.1111111111111111;352;0.0255681818181818;628.5714285714286;0.2727272727272727;5.357142857142857;0;0.12;1;0;-4;0.0253456221198156;0.2727272727272727;0.1866666666666666;1.0;0;3;3;1;0;0;1;0;0.2727272727272727;0.75;0.0069124423963133;3.6666666666666665;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-02;Osasuna;1;0;0;41;43;Sevilla;1;1;7;12;3;5;0.35;0.65;256;0.66;15;11;1;1;0;0;1;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;5;0.0541666666666666;0.0666666666666666;169;0.0887573964497041;482.8571428571429;0.1428571428571428;2.857142857142857;-5;-0.3;-4;0;4;0.02734375;0.1428571428571428;0.35;1.0;0;1;1;0;1;0;1;0;0.1428571428571428;0.3333333333333333;0.00390625;7.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Osasuna;1;0;1;41;37;Villarreal;6;4;4;16;3;7;0.4;0.6;348;0.73;12;13;6;4;0;0;0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;8;0.0375;0.5;254;0.0472440944881889;635.0;0.0;0.0;-12;-0.1999999999999999;-8;2;-1;0.0114942528735632;0.5;0.2;0.0;2;0;2;0;1;0;0;1;0.5;0.6666666666666666;0.0057471264367816;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;Osasuna;1;0;0;41;12;Real Madrid;2;0;2;18;0;8;0.31;0.69;288;0.74;16;9;2;0;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;11;0.0383333333333333;0.125;213;0.0751173708920187;687.0967741935484;1.5;9.67741935483871;-16;-0.3799999999999999;-8;2;7;0.0069444444444444;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-05;Osasuna;19;0;3;41;-1;Chiclana;0;1;23;5;11;2;0.69;0.31;459;0.84;10;17;0;1;0;0;6;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;3;0.062;0.0;386;0.0259067357512953;559.4202898550725;0.2608695652173913;8.695652173913045;18;0.3799999999999999;3;-1;-7;0.0501089324618736;0.217391304347826;0.1379999999999999;1.2;0;5;5;1;0;0;1;0;0.217391304347826;0.4545454545454545;0.0108932461873638;4.6;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-02;Osasuna;1;0;3;41;51;Valladolid;1;5;20;7;4;4;0.49;0.51;351;0.75;21;12;1;5;0;0;7;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;2;0.0728571428571428;0.0476190476190476;263;0.0798479087452471;536.7346938775511;0.35;14.285714285714286;13;-0.02;5;-4;9;0.0569800569800569;0.05;0.49;7.0;1;0;1;1;0;0;0;1;0.05;0.25;0.0028490028490028;20.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-27;Osasuna;1;0;7;41;46;Real Sociedad;4;3;10;19;4;9;0.24;0.76;199;0.64;14;7;4;3;0;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;14;0.04;0.2857142857142857;127;0.1102362204724409;529.1666666666667;0.4;16.666666666666668;-9;-0.52;-10;1;7;0.050251256281407;0.2;0.12;2.0;2;0;2;1;0;0;1;0;0.2;0.5;0.0100502512562814;5.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-19;Osasuna;1;0;1;41;39;Betis;2;2;19;11;6;7;0.55;0.45;374;0.76;12;8;2;1;0;1;10;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;2;0.0409090909090909;0.1666666666666666;284;0.0422535211267605;516.3636363636364;0.5263157894736842;18.18181818181818;8;0.1;8;0;4;0.0508021390374331;0.0526315789473684;0.55;10.0;0;1;1;0;0;1;0;1;0.0526315789473684;0.1666666666666666;0.0026737967914438;19.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-10-05;Osasuna;1;0;1;41;48;Getafe;4;2;6;11;2;3;0.61;0.39;334;0.68;10;17;4;2;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.0354545454545454;0.4;227;0.0440528634361233;372.1311475409836;0.3333333333333333;3.278688524590164;-5;0.2199999999999999;-2;2;-7;0.0179640718562874;0.1666666666666666;0.61;2.0;0;1;1;0;1;0;1;0;0.1666666666666666;0.5;0.0029940119760479;6.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
